Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
62;21100223148;"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC";conference and proceedings;"19436106, 19436092";"IEEE Computer Society";No;No;0,251;-;29;61;154;2203;217;148;1,19;36,11;30,52;0;8;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computational Theory and Mathematics; Human-Computer Interaction; Software";"Computer Science"
63;21100888800;"Conference proceedings International Research Council on the Biomechanics of Injury, IRCOBI";conference and proceedings;"22353151";"International Research Council on the Biomechanics of Injury";No;No;0,239;-;20;137;342;2370;180;338;0,58;17,30;26,72;0;32;Switzerland;Western Europe;"International Research Council on the Biomechanics of Injury";"2016-2024";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software";"Computer Science"
64;21100398701;"IEEE International Conference on Data Mining Workshops, ICDMW";conference and proceedings;"23759232, 23759259";"IEEE Computer Society";No;No;0,238;-;37;0;498;0;500;486;0,84;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2014-2023";"Computer Science Applications; Software";"Computer Science"
65;21100198514;"Proceedings of IEEE Pacific Rim International Symposium on Dependable Computing, PRDC";conference and proceedings;"15410110";"IEEE Computer Society";No;No;0,238;-;24;35;108;818;97;98;0,78;23,37;24,42;0;2;United States;Northern America;"IEEE Computer Society";"2000-2002, 2011-2014, 2017-2024";"Computational Theory and Mathematics; Computer Science Applications; Hardware and Architecture; Software";"Computer Science"
66;21101090643;"Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS";conference and proceedings;"23340754, 23340762";"Florida Online Journals, University of Florida";Yes;Yes;0,237;-;10;131;381;2601;314;375;0,87;19,85;29,73;0;18;United States;Northern America;"Florida Online Journals, University of Florida";"2021-2024";"Artificial Intelligence; Software";"Computer Science"
67;21101107943;"International Conference on Cloud Computing and Services Science, CLOSER - Proceedings";conference and proceedings;"21845042";"Science and Technology Publications, Lda";No;No;0,225;-;8;38;105;889;105;100;0,88;23,39;11,48;0;4;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Science Applications; Computer Science (miscellaneous); Software";"Computer Science"
68;18705;"Proceedings - IEEE Computer Society's International Computer Software and Applications Conference";conference and proceedings;"07303157";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,225;-;59;0;293;0;350;288;1,19;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2019, 2023";"Computer Science Applications; Software";"Computer Science"
69;21100846961;"IS and T International Symposium on Electronic Imaging Science and Technology";conference and proceedings;"24701173";"Society for Imaging Science and Technology";No;No;0,222;-;30;162;648;2945;349;596;0,53;18,18;23,11;0;29;United States;Northern America;"Society for Imaging Science and Technology";"2016-2024";"Atomic and Molecular Physics, and Optics; Computer Graphics and Computer-Aided Design; Computer Science Applications; Electrical and Electronic Engineering; Human-Computer Interaction; Software";"Computer Science; Engineering; Physics and Astronomy"
70;21100307476;"IEEE/IFIP International Conference on VLSI and System-on-Chip, VLSI-SoC";conference and proceedings;"23248432, 23248440";"IEEE Computer Society";No;No;0,221;-;17;58;194;1005;179;185;0,93;17,33;19,15;0;8;United States;Northern America;"IEEE Computer Society";"2013, 2015, 2017-2024";"Electrical and Electronic Engineering; Hardware and Architecture; Software";"Computer Science; Engineering"
71;21100313909;"Iranian Conference on Machine Vision and Image Processing, MVIP";conference and proceedings;"21666776, 21666784";"IEEE Computer Society";No;No;0,214;-;16;43;49;968;63;48;1,29;22,51;29,59;0;4;United States;Northern America;"IEEE Computer Society";"2013, 2016-2017, 2020, 2022, 2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Software";"Computer Science"
72;16719;"Proceedings - Frontiers in Education Conference, FIE";conference and proceedings;"15394565";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,211;-;49;0;1295;0;1048;1291;0,71;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976, 1978-1989, 1991-2013, 2015-2023";"Computer Science Applications; Education; Software";"Computer Science; Social Sciences"
73;21100211110;"ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems";conference and proceedings;"21567891, 21572305";"IEEE Computer Society";No;No;0,209;-;25;0;25;0;50;23;2,00;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2012-2013, 2019, 2023";"Hardware and Architecture; Software";"Computer Science"
74;21101189051;"Proceedings of the International Conference on Security and Cryptography";conference and proceedings;"21847711";"Science and Technology Publications, Lda";No;No;0,207;-;5;96;183;2287;139;180;0,77;23,82;21,89;0;12;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Networks and Communications; Information Systems; Software";"Computer Science"
75;145120;"Proceedings - Symposium on Computer Architecture and High Performance Computing";conference and proceedings;"15506533";"IEEE Computer Society";No;No;0,206;-;24;24;135;878;88;113;0,56;36,58;21,65;0;3;United States;Northern America;"IEEE Computer Society";"1998, 2002-2009, 2011-2014, 2016, 2019-2024";"Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
76;17317;"Conference Proceedings - IEEE SOUTHEASTCON";conference and proceedings;"1558058X, 10910050";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,205;-;41;268;420;5589;422;414;1,05;20,85;19,80;0;64;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-1984, 1986-2024";"Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Signal Processing; Software";"Computer Science; Engineering"
77;21100291862;"Conference on Control and Fault-Tolerant Systems, SysTol";conference and proceedings;"21621195, 21621209";"IEEE Computer Society";No;No;0,204;-;19;0;62;0;53;60;0,00;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2013, 2016, 2019, 2021";"Computer Science Applications; Control and Systems Engineering; Hardware and Architecture; Software";"Computer Science; Engineering"
78;21100797240;"ASEE Annual Conference and Exposition, Conference Proceedings";conference and proceedings;"21535965";"American Society for Engineering Education";No;No;0,200;-;43;2162;5640;48392;2390;5637;0,42;22,38;48,70;0;769;United States;Northern America;"American Society for Engineering Education";"2005-2024";"Artificial Intelligence; Computational Theory and Mathematics; Engineering (miscellaneous); Information Systems; Software";"Computer Science; Engineering"
79;21100216911;"International Conference Recent Advances in Natural Language Processing, RANLP";conference and proceedings;"13138502";"Association for Computational Linguistics (ACL)";No;No;0,197;-;39;0;369;0;472;361;0,95;0,00;0,00;0;0;United States;Northern America;"Association for Computational Linguistics (ACL)";"2005-2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023";"Artificial Intelligence; Computer Science Applications; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
80;145296;"Proceedings - Asia-Pacific Software Engineering Conference, APSEC";conference and proceedings;"15301362";"IEEE Computer Society";No;No;0,197;-;41;0;263;0;208;255;0,73;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"1994, 1996, 2000, 2002-2023";"Engineering (miscellaneous); Software";"Computer Science; Engineering"
81;21100239654;"Brazilian Symposium on Computing System Engineering, SBESC";conference and proceedings;"23247886, 23247894";"IEEE Computer Society";No;No;0,194;-;11;33;79;699;58;73;0,81;21,18;8,43;0;15;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computer Networks and Communications; Software";"Computer Science"
82;21100197335;"IEEE Workshop on Local and Metropolitan Area Networks";conference and proceedings;"19440375, 19440367";"IEEE Computer Society";No;No;0,193;-;20;24;56;355;38;47;0,71;14,79;18,33;0;4;United States;Northern America;"IEEE Computer Society";"1993, 1999, 2011, 2013, 2015-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology; Software";"Computer Science; Engineering"
83;11600154611;"ACM International Conference Proceeding Series";conference and proceedings;"-";"Association for Computing Machinery";No;No;0,191;-;164;0;24427;0;20381;23324;1,14;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1993, 1996-1997, 1999-2023";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
84;25533;"Proceedings of the Information Visualization Conference";conference and proceedings;"10939547";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,190;-;47;59;195;1420;170;189;0,88;24,07;31,13;0;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995-1997, 1999-2016, 2019-2024";"Computer Vision and Pattern Recognition; Signal Processing; Software";"Computer Science"
85;21100274216;"Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS";conference and proceedings;"23270586, 23270594";"IEEE Computer Society";No;No;0,188;-;33;36;199;576;148;193;0,66;16,00;30,43;0;5;United States;Northern America;"IEEE Computer Society";"2013-2024";"Software";"Computer Science"
86;20300195011;"International Conference on Systems, Signals, and Image Processing";conference and proceedings;"21578702, 21578672";"IEEE Computer Society";No;No;0,186;-;23;21;151;481;115;147;0,76;22,90;20,69;0;3;United States;Northern America;"IEEE Computer Society";"2011, 2013-2014, 2016-2020, 2022-2024";"Artificial Intelligence; Computer Networks and Communications; Signal Processing; Software";"Computer Science"
87;21101107942;"International Conference on Internet of Things, Big Data and Security, IoTBDS - Proceedings";conference and proceedings;"21844976";"Science and Technology Publications, Lda";No;No;0,181;-;6;39;105;984;77;101;0,74;25,23;18,97;0;11;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Networks and Communications; Software";"Computer Science"
88;20600195633;"International Conference on Advanced Technologies for Communications";conference and proceedings;"21621020, 21621039";"IEEE Computer Society";No;No;0,180;-;22;0;245;0;191;233;0,59;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2023";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
89;21100327720;"Olympiads in Informatics";conference and proceedings;"18227732";"Vilnius University";No;No;0,172;-;15;18;46;180;20;40;0,38;10,00;26,47;0;3;Lithuania;Eastern Europe;"Vilnius University";"2007-2024";"Computer Science Applications; Information Systems; Software";"Computer Science"
90;21101131205;"Proceedings - International Conference on Knowledge and Systems Engineering, KSE";conference and proceedings;"26944804";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,172;-;6;0;212;0;125;204;0,54;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2023";"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Information Systems; Software";"Computer Science; Engineering"
91;21100293202;"Proceedings of the European Conference on Games-based Learning";conference and proceedings;"20490992";"Dechema e.V.";No;No;0,170;-;19;143;319;3685;205;313;0,72;25,77;51,93;0;66;Germany;Western Europe;"Dechema e.V.";"2005-2006, 2008-2009, 2011-2012, 2014-2016, 2018-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Control and Systems Engineering; Education; E-learning; Human-Computer Interaction; Software";"Computer Science; Engineering; Social Sciences"
92;120165;"Proceedings of the Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises, WET ICE";conference and proceedings;"15244547";"IEEE Computer Society";No;No;0,164;-;40;26;77;500;42;73;0,32;19,23;30,49;0;7;United States;Northern America;"IEEE Computer Society";"1993, 1995-1996, 1998-2010, 2012-2014, 2020-2021, 2023";"Hardware and Architecture; Software";"Computer Science"
93;21101204690;"Eurographics Italian Chapter Proceedings - Smart Tools and Applications in Graphics, STAG";conference and proceedings;"26174855";"Eurographics Association";No;No;0,157;-;4;24;64;715;27;58;0,44;29,79;29,33;0;4;Switzerland;Western Europe;"Eurographics Association";"2021-2024";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Software";"Computer Science"
94;2300147403;"Final Program and Proceedings - IS and T/SID Color Imaging Conference";conference and proceedings;"21692629, 21669635";"Society for Imaging Science and Technology";No;No;0,157;-;45;0;156;0;58;151;0,34;0,00;0,00;0;0;United States;Northern America;"Society for Imaging Science and Technology";"1994-2023";"Atomic and Molecular Physics, and Optics; Computer Vision and Pattern Recognition; Electronic, Optical and Magnetic Materials; Software";"Computer Science; Materials Science; Physics and Astronomy"
95;21100400011;"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE";conference and proceedings;"23259086, 23259000";"Knowledge Systems Institute Graduate School";No;No;0,156;-;20;82;361;1439;166;355;0,50;17,55;36,17;0;4;United States;Northern America;"Knowledge Systems Institute Graduate School";"2013-2023";"Software";"Computer Science"
96;21101107946;"International Conference on Geographical Information Systems Theory, Applications and Management, GISTAM - Proceedings";conference and proceedings;"2184500X";"Science and Technology Publications, Lda";No;No;0,154;-;4;24;81;522;37;76;0,47;21,75;36,14;0;17;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Information Systems; Software";"Computer Science"
97;18620;"Software Engineering Education Conference, Proceedings";conference and proceedings;"10930175";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,152;-;26;54;41;955;36;38;0,88;17,69;28,79;0;8;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996-1997, 1999-2008, 2010, 2013, 2015, 2023-2024";"Education; Software";"Computer Science; Social Sciences"
98;10300153337;"Brazilian Symposium of Computer Graphic and Image Processing";conference and proceedings;"15301834";"IEEE Computer Society";No;No;0,151;-;34;56;49;1523;20;46;0,41;27,20;13,29;0;8;United States;Northern America;"IEEE Computer Society";"2000-2006, 2012-2015, 2023-2024";"Computer Graphics and Computer-Aided Design; Engineering (miscellaneous); Signal Processing; Software";"Computer Science; Engineering"
99;21100225801;"Brazilian Symposium on Games and Digital Entertainment, SBGAMES";conference and proceedings;"21596662, 21596654";"IEEE Computer Society";No;No;0,147;-;13;0;47;0;23;41;0,48;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011, 2014, 2016-2022";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";"Computer Science"
100;21101131214;"International Conference on Sport Sciences Research and Technology Support, icSPORTS - Proceedings";conference and proceedings;"21843201";"Science and Technology Publications, Lda";No;No;0,145;-;3;35;71;666;27;66;0,24;19,03;20,83;0;1;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2023";"Computer Science Applications; Software";"Computer Science"
101;21101131209;"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management, IC3K - Proceedings";conference and proceedings;"21843228";"Science and Technology Publications, Lda";No;No;0,145;-;6;126;307;3698;136;294;0,43;29,35;28,93;0;19;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Management of Technology and Innovation; Software; Strategy and Management";"Business, Management and Accounting; Computer Science"
102;21101070215;"International Workshop on Visual Analytics";conference and proceedings;"26644487";"Eurographics Association";No;No;0,145;-;12;13;38;346;16;35;0,48;26,62;25,00;0;0;Germany;Western Europe;"Eurographics Association";"2011-2024";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Signal Processing; Software";"Computer Science"
103;21100228514;"Proceedings - IEEE International Symposium on Rapid System Prototyping, RSP";conference and proceedings;"21505519, 21505500";"IEEE Computer Society";No;No;0,143;-;23;10;33;215;14;30;0,50;21,50;19,23;0;2;United States;Northern America;"IEEE Computer Society";"2012, 2014, 2016-2018, 2021-2023";"Computer Networks and Communications; Control and Systems Engineering; Hardware and Architecture; Signal Processing; Software";"Computer Science; Engineering"
104;21100222906;"Proceedings of the International Conference on Anti-Counterfeiting, Security and Identification, ASID";conference and proceedings;"21635048, 21635056";"IEEE Computer Society";No;No;0,143;-;16;31;119;366;48;113;0,28;11,81;28,57;0;3;United States;Northern America;"IEEE Computer Society";"2012-2013, 2016-2024";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition; Software";"Computer Science"
105;21101180313;"International Conference on Model-Driven Engineering and Software Development";conference and proceedings;"21844348";"Science and Technology Publications, Lda";No;No;0,141;-;5;41;82;987;38;80;0,70;24,07;23,68;0;6;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2022, 2024";"Engineering (miscellaneous); Software";"Computer Science; Engineering"
106;21101207001;"Proceedings - International Conference on Field-Programmable Technology, ICFPT";conference and proceedings;"28370430, 28370449";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,140;-;3;0;53;0;42;51;0,79;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010, 2023";"Computer Science Applications; Control and Optimization; Hardware and Architecture; Software";"Computer Science; Mathematics"
107;21100879012;"International Conference on Software, Knowledge Information, Industrial Management and Applications, SKIMA";conference and proceedings;"25733214, 2373082X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,135;-;11;0;112;0;53;109;0,47;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2018, 2022-2023";"Computer Science Applications; Information Systems; Information Systems and Management; Software";"Computer Science; Decision Sciences"
108;130018;"Proceedings - International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV";conference and proceedings;"10932941";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,134;-;20;0;133;0;55;130;0,41;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2023";"Computer Networks and Communications; Software";"Computer Science"
109;21100787044;"CBMS-NSF Regional Conference Series in Applied Mathematics";conference and proceedings;"01639439";"Society for Industrial and Applied Mathematics Publications";No;No;0,133;-;10;2;2;166;0;1;0,00;83,00;0,00;0;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2007, 2011, 2015-2020, 2023-2024";"Applied Mathematics; Safety, Risk, Reliability and Quality; Software";"Computer Science; Engineering; Mathematics"
110;21100285411;"International Conference on Geoinformatics";conference and proceedings;"2161024X, 21610258";"IEEE Computer Society";No;No;0,130;-;8;0;111;0;32;109;0,29;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2013, 2015-2018, 2022-2023";"Computer Networks and Communications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Geography, Planning and Development; Information Systems; Software";"Computer Science; Engineering; Social Sciences"
111;21100223504;"Proceedings of the International Conference on Dublin Core and Metadata Applications";conference and proceedings;"19391358, 19391366";"Dublin Core metadata initiative";No;No;0,124;-;17;36;29;299;2;27;0,07;8,31;47,89;0;1;United States;Northern America;"Dublin Core metadata initiative";"2005-2019, 2022-2024";"Computer Science Applications; Computer Vision and Pattern Recognition; E-learning; Software";"Computer Science; Social Sciences"
112;21100220482;"Proceedings of the Information Systems Education Conference, ISECON";conference and proceedings;"21671435";"Foundation for Information Technology Education";No;No;0,117;-;9;24;54;399;9;49;0,11;16,63;29,31;0;8;United States;Northern America;"Foundation for Information Technology Education";"2006-2009, 2012, 2019-2024";"Education; Information Systems; Software";"Computer Science; Social Sciences"
113;21101131212;"Proceedings - Ivannikov ISPRAS Open Conference";conference and proceedings;"27679535";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,115;-;3;0;81;0;27;78;0,32;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2023";"Artificial Intelligence; Computational Mathematics; Modeling and Simulation; Software";"Computer Science; Mathematics"
114;21100298054;"IEEE International Conference on Adaptive Science and Technology, ICAST";conference and proceedings;"23269413, 23269448";"IEEE Computer Society";No;No;0,112;-;10;57;26;1168;7;23;0,00;20,49;23,33;0;33;United States;Northern America;"IEEE Computer Society";"2013, 2015, 2018, 2021, 2024";"Communication; Computer Networks and Communications; Electrical and Electronic Engineering; Information Systems; Software";"Computer Science; Engineering; Social Sciences"
115;21100244819;"Deutsche Gesellschaft fur Medizinische Informatik, Biometrie und Epidemiologie e.V. (GMDS)";conference and proceedings;"18609171, 18608779";"Deutsche Gesellschaft fur Medizinische Informatik, Biometrie und Epidemiologie e.V.";Yes;Yes;0,110;-;8;6;15;88;2;10;0,00;14,67;16,67;0;0;Germany;Western Europe;"Deutsche Gesellschaft fur Medizinische Informatik, Biometrie und Epidemiologie e.V.";"2008-2021, 2023-2024";"Computer Networks and Communications; Software";"Computer Science"
116;21100900000;"Recent Advances in Slavonic Natural Language Processing";conference and proceedings;"23364289";"Tribun EU s. r. o.";No;No;0,109;-;6;0;65;0;13;59;0,23;0,00;0,00;0;0;Czech Republic;Eastern Europe;"Tribun EU s. r. o.";"2017-2023";"Artificial Intelligence; Computational Theory and Mathematics; Information Systems; Software";"Computer Science"
117;21100983203;"eLearning and Software for Education Conference";conference and proceedings;"20668821, 2066026X";"National Defence University - Carol I Printing House";No;No;0,108;-;7;0;369;0;28;362;0,01;0,00;0,00;0;0;Romania;Eastern Europe;"National Defence University - Carol I Printing House";"2019-2023";"Computer Science Applications; Education; Software";"Computer Science; Social Sciences"
118;69495;"Proceedings of the International Telemetering Conference";conference and proceedings;"08845123";"International Foundation for Telemetering";No;No;0,103;-;12;0;266;0;5;257;0,03;0,00;0,00;0;0;United States;Northern America;"International Foundation for Telemetering";"1971, 1973, 1975, 1977-1986, 1990-1992, 1995-1998, 2005-2019, 2021-2023";"Computer Networks and Communications; Electrical and Electronic Engineering; Engineering (miscellaneous); Instrumentation; Signal Processing; Software";"Computer Science; Engineering; Physics and Astronomy"
119;21100222526;"Balisage Series on Markup Technologies";conference and proceedings;"19472609";"Mulberry Tecnologies, Inc.";No;No;0,101;-;9;0;46;0;0;44;0,00;0,00;0,00;0;0;United States;Northern America;"Mulberry Tecnologies, Inc.";"2008-2012, 2014-2022";"Software";"Computer Science"
120;21101232809;"Annual ACM Symposium on Parallelism in Algorithms and Architectures";conference and proceedings;"15486109";"Association for Computing Machinery";No;No;;-;1;56;0;1750;0;0;0,00;31,25;13,91;0;2;United States;Northern America;"Association for Computing Machinery";"2024";"Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
121;21101232716;"IEEE International Conference on Program Comprehension";conference and proceedings;"26437171, 26437147";"IEEE Computer Society";No;No;;-;3;48;0;2058;0;0;0,00;42,88;30,39;1;0;United States;Northern America;"IEEE Computer Society";"2024";"Hardware and Architecture; Software";"Computer Science"
122;21101246773;"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM";conference and proceedings;"21596247, 21596255";"Institute of Electrical and Electronics Engineers Inc.";No;No;;-;52;229;0;4562;0;0;0,00;19,92;17,95;0;41;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1997, 1999, 2001, 2003, 2005, 2007-2012, 2014-2016, 2024";"Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
123;21101276059;"International Conference on Signal Processing Proceedings, ICSP";conference and proceedings;"2164523X, 21645221";"Institute of Electrical and Electronics Engineers Inc.";No;No;;-;0;164;0;3360;0;0;0,00;20,49;37,95;0;8;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2024";"Computer Science Applications; Signal Processing; Software";"Computer Science"
124;21101220918;"Proceedings of the IEEE Southwest Symposium on Image Analysis and Interpretation";conference and proceedings;"15505782, 24733598";"Institute of Electrical and Electronics Engineers Inc.";No;No;;-;28;35;0;513;0;0;0,00;14,66;26,32;0;8;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2024";"Computer Science Applications; Computer Vision and Pattern Recognition; Software";"Computer Science"
